Year,CH4,CH4_Energy,CH4_Industrial_Processes_and_Product_Use,CH4_Agriculture,CH4_Waste
1850,600,65.75,0.02,442.5,90.25
1851,615,66,0.03,457.5,91
1852,630,66.5,0.03,472.5,91.75
1853,647.5,67.25,0.04,487.5,92.5
1854,665,68.25,0.04,502.5,93.25
1855,680,69.75,0.05,517.5,94
1856,697.5,71.25,0.05,532.5,94.75
1857,715,73,0.06,547.5,95.5
1858,732.5,75,0.06,562.5,96.25
1859,752.5,77,0.07,577.5,97
1860,770,79.5,0.07,592.5,98
1861,787.5,82.25,0.08,607.5,98.75
1862,805,85,0.09,622.5,99.5
1863,825,88,0.09,635,100
1864,842.5,91.25,0.1,650,100.75
1865,862.5,94.5,0.11,665,101.5
1866,880,98,0.11,680,102.25
1867,900,101.75,0.12,695,103
1868,917.5,105.5,0.13,707.5,103.75
1869,937.5,109.75,0.14,722.5,104.5
1870,957.5,113.75,0.14,737.5,105.5
1871,975,118,0.15,750,106.5
1872,995,122.5,0.16,765,107.5
1873,1015,127,0.17,780,108.5
1874,1035,131.75,0.18,792.5,109.75
1875,1055,136.5,0.19,805,111
1876,1072.5,141.5,0.2,820,112.25
1877,1092.5,146.5,0.2,832.5,113.5
1878,1112.5,151.75,0.21,845,115
1879,1132.5,156.75,0.22,860,116.25
1880,1152.5,162,0.23,872.5,117.5
1881,1170,167.5,0.24,885,118.75
1882,1190,172.75,0.25,897.5,120
1883,1210,178.25,0.26,910,121.25
1884,1227.5,184,0.27,920,122.75
1885,1247.5,189.5,0.28,932.5,124
1886,1265,195,0.29,945,125.25
1887,1282.5,200.75,0.3,955,126.75
1888,1302.5,206.5,0.31,967.5,128
1889,1320,212.25,0.32,977.5,129.5
1890,1340,238.5,0.5,970,132.75
1891,1367.5,247.5,0.53,985,134.5
1892,1395,257.5,0.57,1000,136.75
1893,1422.5,267.5,0.63,1015,138.75
1894,1450,280,0.69,1030,141
1895,1477.5,292.5,0.75,1042.5,143.25
1896,1507.5,305,0.81,1055,145.5
1897,1532.5,320,0.89,1065,148
1898,1560,335,0.97,1075,150.5
