Country/Region,unit,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
China,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,1.94,2.06,2.27,16.9,16.6,22.4,20.5,18.5,27.4,9.67,10.6,14.9,15.9,17.8,19.7,20.9,24.1,26.6,25.1,26.5,32,34.9,33.1,29.6,33.6,34.2,35.9,38,40.5,39,42.8,50,58.5,66.1,62,56.8,68.7,87.4,109,115,98.3,98.7,51.6,32.7,34.9,25.2,60,79.1,103,131,141,172,205,236,280,549,746,806,582,475,474,477,518,568,484,523,635,824,929,986,1020,1040,1200,1250,1370,1520,1560,1530,1510,1640,1730,1880,2020,2130,2280,2440,2480,2520,2650,2770,2940,3160,3410,3550,3590,3420,3430,3560,3640,4010,4720,5430,6090,6730,7230,7750,8160,8930,9820,10100,10200,10300,10200,10200,10400
India,MtCO2e,0.27,0.28,0.29,0.31,0.33,0.34,0.36,0.52,0.41,0.66,0.67,0.52,0.57,0.64,0.6,0.59,0.67,0.76,0.87,0.99,1.12,1.25,1.38,1.5,1.61,1.7,1.77,1.82,1.84,1.75,1.95,1.9,2.26,2.52,2.81,2.54,2.85,3.16,3.51,4.12,4.54,4.89,5.38,5.67,5.79,7.26,7.87,8.54,9.47,10.5,12.4,13.7,15.2,15.5,17.4,17.9,20.7,23.2,26.5,25.7,25.2,26.6,30.5,33.6,33.9,35.4,35.8,37.4,42,45.7,37.4,40.2,39.8,41.2,44.3,44.1,44.4,46.9,45.8,47.9,49.1,45.8,43.5,43.4,48.3,50.8,50.7,55.9,62.7,62.4,66.2,67,67.2,60.3,61.5,66.9,66.4,67.5,67.9,71.5,76.8,81,86.3,89.8,96.1,105,111,124,132,140,153,165,181,194,194,212,221,226,243,250,252,260,276,279,282,304,317,329,331,347,357,385,391,415,430,469,498,528,573,628,669,709,755,779,828,874,937,968,979,1040,1070,1060,1060,1100,1160,1210,1280,1350,1490,1640,1620,1730,1880,1900,2090,2150,2230,2300
Russia,MtCO2e,0.06,0.08,0.1,0.13,0.16,0.19,0.21,0.24,0.27,0.28,0.37,0.47,0.43,0.45,0.5,0.48,1.51,1.73,1.45,1.96,2.13,2.87,2.94,2.77,3.37,3.88,4.83,4.95,6.47,6.66,7.8,8.26,8.71,9.9,10.2,11.1,11.4,12.2,12.7,13.7,15.5,17.1,18.2,21.3,21.6,25,25.4,29.4,32.9,38,43.1,44.4,42.9,41.8,46.3,41,46.8,52.3,52.6,55.5,54.5,56.4,63.6,68.9,62.6,57.9,61.7,56.9,23.2,20.4,18.8,20.3,24.7,27.4,32.4,32.3,45.9,57.8,63.3,68.6,93.5,112,125,139,167,189,216,221,233,237,281,249,178,222,211,218,245,293,313,355,396,430,463,493,542,617,680,749,806,854,897,934,989,1070,1140,1210,1290,1350,1400,1460,1540,1630,1720,1790,1850,1940,2020,2080,2220,2240,2320,2280,2320,2350,2360,2510,2520,2620,2690,2640,2560,2440,2010,1900,1670,1640,1610,1510,1490,1520,1500,1530,1520,1550,1570,1580,1630,1630,1650,1550,1640,1690,1710,1640,1640,1650,1640,1670
Japan,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.04,0.64,1.58,1.54,1.42,2.04,2.55,2.58,2.65,2.76,2.98,3.25,3.68,3.96,4.92,5.68,6.87,7.37,8.82,8.77,9.31,11.9,13.2,13.9,14.6,18.5,18.5,20.8,24.9,26.7,27.6,31,32,35.1,37.5,40.2,40.9,42.1,47.2,52.6,57.9,61.8,56.4,62.5,71.9,76.3,84.4,79.2,71.4,76.3,81.1,84.8,87.7,88.3,98.1,99.4,102,93,84.3,84.6,99,110,115,127,136,143,138,165,167,159,162,149,83.4,58,76.2,95.3,106,111,133,141,158,156,156,177,208,201,215,259,313,326,362,400,430,468,544,623,721,834,863,921,988,986,935,976,1000,972,1030,1020,996,961,944,1000,975,974,966,1050,1090,1160,1170,1180,1170,1230,1240,1250,1250,1210,1240,1270,1250,1280,1290,1280,1290,1270,1300,1230,1160,1220,1270,1310,1320,1270,1230,1210,1190
Germany,MtCO2e,15.3,17.1,19.4,21,24.7,29,31.3,33.4,36.1,34.2,36.9,41.9,46.1,50,57.4,64.3,63.7,70,75.3,78.6,77.6,86.4,93.3,99.6,72.5,103,105,103,106,112,126,136,145,155,160,163,165,173,189,201,210,223,217,223,231,240,258,275,286,304,327,326,320,344,356,382,362,441,445,444,444,457,497,532,496,462,499,522,502,388,429,472,455,334,453,459,416,488,509,543,467,392,355,373,417,460,508,571,609,656,661,668,675,687,612,135,286,332,392,446,524,591,626,640,678,743,788,802,784,786,846,870,921,986,1010,1010,1000,992,1040,1110,1080,1090,1100,1140,1120,1050,1140,1100,1130,1170,1150,1090,1060,1050,1070,1080,1080,1070,1070,1050,1060,1020,977,967,950,950,970,942,934,907,911,926,909,910,895,875,887,860,862,796,842,819,823,839,800,804,809,805
Iran,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.14,0.26,0.86,1.18,1.41,2.02,2.81,3.47,4.34,5.46,7.29,9.27,11.6,13.6,14.3,15.1,16.8,17.8,17.1,18.6,18,20.2,22.2,23.6,23.4,25.7,31.8,31.9,30.2,27.3,20.9,29.7,30.6,41.9,53.2,60.5,63.8,78.3,84.5,0.71,7.1,4.29,4.05,1.3,16.1,23.2,22.2,25.7,26.1,38,37.1,38.1,42.1,48.4,54.6,65.1,69,83.6,84.4,92.7,103,107,131,146,141,159,167,164,166,123,115,140,152,153,163,150,161,178,193,213,230,232,240,268,276,281,275,313,387,378,404,407,424,453,476,517,530,552,566,584,600,622,631,663,660,669,698
South Korea,MtCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.06,0.09,0.12,0.15,0.18,0.2,0.25,0.28,0.38,0.47,0.4,0.4,0.4,0.46,0.58,0.63,0.64,0.76,0.8,1.23,1.32,1.37,1.58,1.8,1.72,1.82,2.13,2.5,3.22,3.71,4.34,4.63,6.44,7.95,10.7,11.5,12.8,12.4,13.2,7.19,1.17,1.67,2.54,3.13,3.2,4.01,4.62,5.94,6.48,7.87,9.08,9.83,10.7,13.1,14.6,16.6,19.7,23.8,25.2,28.2,33.6,39.1,41.5,47.2,59,64,65.9,79.6,82.7,89,102,115,119,140,141,146,148,161,182,201,205,213,244,257,268,288,306,341,362,390,423,449,382,414,448,464,485,494,500,508,511,530,544,549,600,633,637,646,639,652,659,673
Indonesia,MtCO2e,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.24,0.5,0.59,0.93,1.04,1.34,1.55,1.36,1.46,2.69,1.85,3.6,4.04,4.95,5.33,6.34,6.57,7.16,7.31,8.05,6.99,7.06,7.2,7.22,8.09,8.54,8.53,9.14,9.88,10.5,9.93,11.5,12.7,13.3,13.3,15.4,17.7,22.2,21.6,20.2,19.8,21.3,23,23.9,26,30.4,32,34.9,34.4,31.6,11.4,22.8,10.6,4.62,1.68,4.9,18.6,26.3,11.9,11.3,15.3,15.8,17.8,25.1,26.4,27.1,26.9,29,26.1,31.7,28.2,28.1,27.7,30.7,29.3,30.9,34.7,41.9,49.7,53.9,62.2,70.1,74.8,76.9,89.1,126,146,148,136,142,146,146,156,167,169,172,184,183,208,230,247,264,274,289,306,321,339,340,339,369,370,399,404,400,406,421,410,425,470,522,559,515,558,564,571,595
Canada,MtCO2e,0.06,0.07,0.08,0.1,0.12,0.15,0.18,0.21,0.26,0.31,0.37,0.45,0.55,0.69,0.83,1,1.22,1.56,0.93,0.67,1.2,1.74,1.81,1.58,1.59,1.84,1.82,1.99,1.9,2.14,5.14,5.49,6.5,7.3,8.44,8.09,8.64,9.97,13.1,11.1,12.3,13.7,13.7,14.6,14,13.5,14.5,14.7,15.6,18.7,20.1,23,24.7,26.8,31.4,33.6,35.4,44,44.5,42.9,48.5,56.3,62.7,73.4,64,57.8,71.6,79.6,83.6,72,79.6,76.5,67.1,88.6,75.4,74.1,83.1,90,92.4,97.4,93.3,76.8,71.2,69.9,78.4,76.7,82.5,88.3,80.7,88.7,101,111,121,128,131,123,131,137,152,141,150,158,157,161,162,172,194,190,191,192,201,204,218,222,246,260,267,288,309,314,344,352,379,380,384,387,388,397,405,430,431,418,401,397,417,415,398,423,445,452,467,457,471,470,486,498,514,528,537,553,575,568,574,591,590,580,575,599,580,547,561,570,574,581,581,581,568,575
Mexico,MtCO2e,0.09,0.09,0.1,0.1,0.11,0.12,0.12,0.13,0.14,0.14,0.15,0.16,0.17,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.26,0.27,0.28,0.29,0.31,0.33,0.34,0.36,0.37,0.39,0.41,0.42,0.44,0.46,0.48,0.5,0.52,0.54,0.56,0.81,0.83,0.88,0.84,0.85,0.81,0.88,0.97,1.01,1.02,1.22,1.47,1.56,1.68,1.82,1.83,2.02,2.32,3.54,3.51,3.92,7.53,8.4,11.8,11.8,16.3,19.9,28,32.5,41.4,69.2,80.2,76.5,65.9,62.7,54.3,44.6,34.7,28.6,27.2,26,23.4,23.2,24,26.1,28.5,29.5,32.5,32.7,32.2,33.5,33.9,32.4,33.9,36.4,40.3,44.7,49.8,53,54.1,53,63.1,66.7,66.9,68.4,78.4,80.4,96,109,122,126,121,106,119,138,130,141,146,151,162,188,198,194,194,216,224,245,224,268,271,299,322,367,310,288,291,281,295,285,323,322,331,334,337,358,350,378,408,433,414,417,406,421,419,423,437,459,499,577,537,510,505,490,498,504,500,531,539
