Year,CO2,C02_Energy,CO2_Industrial_Processes_and_Product_Use,CO2_Agriculture,CO2_Waste
1850,224,199,23.7,0.31,0.38
1851,231,202,28.7,0.32,0.37
1852,243,211,31.2,0.35,0.38
1853,256,221,34.9,0.37,0.41
1854,298,259,38.5,0.43,0.48
1855,308,263,43.8,0.46,0.49
1856,328,281,46.1,0.49,0.52
1857,332,284,47.4,0.51,0.52
1858,337,287,48.2,0.53,0.52
1859,358,305,52.2,0.54,0.55
1860,390,334,54.9,0.58,0.6
1861,406,351,54,0.63,0.64
1862,414,357,56.1,0.67,0.65
1863,446,381,64,0.72,0.67
1864,480,410,68.4,0.79,0.72
1865,506,435,69.3,0.84,0.76
1866,521,449,70.3,0.88,0.8
1867,567,481,84.4,0.96,0.82
1868,590,495,93.8,1.01,0.82
1869,633,525,106,1.07,0.86
1870,650,537,112,1.11,0.83
1871,690,571,117,1.2,0.86
1872,775,631,141,1.33,0.96
1873,829,671,155,1.42,1.02
1874,781,629,149,1.36,1
1875,836,682,152,1.47,1.07
1876,843,691,150,1.59,1.08
1877,872,705,164,1.61,1.07
1878,871,708,161,1.66,1.09
1879,955,759,193,1.78,1.13
1880,1080,857,219,1.97,1.25
1881,1120,886,231,2.03,1.29
1882,1200,937,259,2.15,1.33
1883,1280,996,280,2.3,1.4
1884,1310,1010,295,2.36,1.37
1885,1320,1010,300,2.42,1.36
1886,1350,1030,316,2.48,1.36
1887,1420,1080,338,2.59,1.44
1888,1610,1200,408,2.85,1.52
1889,1570,1200,372,2.94,1.6
1890,1690,1310,383,3.2,1.7
1891,1750,1370,382,3.35,1.76
1892,1770,1380,382,3.38,1.75
1893,1750,1360,382,3.45,1.69
1894,1800,1410,382,3.54,1.9
1895,1880,1490,381,3.77,1.96
1896,1930,1540,381,3.93,2.03
1897,2000,1620,381,4.14,2.12
1898,2090,1700,380,4.39,2.28
1899,2250,1860,380,4.73,2.37
1900,2350,1960,381,4.98,2.52
1901,2420,2030,381,5.19,2.61
1902,2470,2080,382,5.27,2.65
1903,2660,2270,382,5.66,2.79
1904,2690,2300,381,5.79,2.88
1905,2840,2450,382,6.12,2.95
1906,2970,2570,383,6.5,3.17
1907,3300,2910,383,7.29,3.37
1908,3190,2800,382,7.29,3.47
1909,3310,2920,383,7.47,3.52
1910,3450,3060,384,7.77,3.58
1911,3510,3110,383,7.98,3.82
1912,3660,3260,383,8.53,3.97
1913,3930,3530,383,9.14,4.33
1914,3610,3220,382,8.09,3.97
1915,3580,3190,380,7.81,3.69
1916,3830,3440,380,8.38,4
1917,3990,3600,379,8.57,4.34
1918,3950,3560,375,8.08,4.29
