Country/Region,unit,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,MtCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.1,0.18,0.27,0.38,0.49,0.59,0.67,0.74,0.77,0.77,0.75,0.72,0.67,0.61,0.56,0.51,0.48,0.46,0.46,0.47,0.49,0.52,0.55,0.58,0.61,0.65,0.69,0.73,0.77,0.82,0.87,0.93,0.98,1.05,1.12,1.19,1.27,1.35,1.43,1.52,1.63,1.75,1.88,2.01,2.16,2.31,2.46,2.6,2.72,4.01,4.12,4.56,4.87,4.89,5.61,6.26,6.71,7,7.19,7.13,7.35,8.47,8.7,9.22,9.78,11.6,13.5,14.2,13.6,11.3,12.5,19.7,29.9,21.8,24.9,36,27.7,78.2,61.3,77.2,105,124,167,205,232,209,218,217,219,269,286,303,320,337,354,371
Bolivia,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,4.89,15.6,26.3,31.2,29.5,25.8,17.6,11.4,14.7,24.6,28.6,30.5,32.4,34.3,36.2,38,39.9,41.8,43.7,45.6,47.5,49.4,51.3
Canada,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.04,0.05,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0.11,0.12,0.12,0.13,0.13,0.17,0.25,0.37,0.53,0.69,0.87,1.04,1.21,1.34,1.45,1.52,1.58,1.63,1.66,1.7,1.73,1.77,1.81,1.86,1.93,2.02,2.12,2.25,2.39,2.54,2.71,2.88,3.06,3.25,3.43,3.63,3.84,4.06,4.29,4.53,4.79,5.05,5.32,5.6,5.88,6.18,6.51,6.87,7.25,7.64,8.03,8.41,8.78,9.13,9.44,9.84,9.28,9.72,10.5,9.54,8.06,10.9,11.7,10.4,11.7,12.3,11.9,12.1,12.8,12.8,13,13.7,14.1,14.5,11.8,12.8,11,10.5,9.92,9.08,9.08,9.32,10.5,9.94,10.6,9.76,10.1,10.1,10.4,10.4,9.88,9.3,9.32,9.69,10.1,10.7,11.3,11.5,11.6,12.5,13.3,13.7
Brazil,MtCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.03,0.05,0.07,0.08,0.1,0.12,0.13,0.13,0.13,0.13,0.12,0.1,0.09,0.08,0.07,0.06,0.05,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.08,0.08,0.09,0.1,0.1,0.11,0.12,0.13,0.13,0.14,0.15,0.17,0.18,0.19,0.2,0.22,0.24,0.26,0.28,0.3,0.33,0.35,0.38,0.53,0.56,0.63,0.86,0.93,0.97,1.17,1.39,1.56,1.84,2.14,2.08,2.06,2.62,2.67,3.24,3.72,3.91,4.28,4.49,4.45,4.98,5.55,5.56,5.34,5.04,4.14,3.66,2.84,3.96,2.4,2.53,3.09,3.43,4.09,4.4,5.79,6.57,7.33,7.53,8.95,8.27,9.13,9.94,10.7,11.6,12,12.7
Australia,MtCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.07,0.11,0.16,0.22,0.28,0.33,0.38,0.42,0.45,0.47,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.47,0.49,0.51,0.53,0.55,0.58,0.6,0.63,0.66,0.7,0.73,0.77,0.81,0.85,0.9,0.95,1,1.06,1.12,1.18,1.24,1.31,1.38,1.46,1.55,1.65,1.75,1.85,1.95,2.05,2.14,2.09,2.6,2.56,2.62,2.69,2.76,2.87,3.12,3.43,3.32,3.23,3.73,3.19,3.09,4.14,5,4.98,5.19,5.65,6.33,6.25,6.27,6.19,5.42,3.49,2.85,2.11,2.2,2.9,2.72,3.11,4.33,4.88,5.49,6.21,6.99,6.04,6.82,7.47,8.61,9.04,9.59,9.5,10.2,11.1,12.1,12.4,12.6
Czech Republic,MtCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.1,0.12,0.19,0.29,0.36,0.42,0.56,0.67,0.82,0.97,1.06,1.16,1.44,1.84,2.14,2.23,2.51,2.74,2.86,3,3.19,3.4,3.54,3.72
Belgium,MtCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.06,0.06,0.07,0.07,0.08,0.08,0.09,0.09,0.1,0.1,0.1,0.11,0.11,0.12,0.12,0.13,0.14,0.15,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.23,0.24,0.25,0.27,0.28,0.29,0.31,0.32,0.34,0.36,0.38,0.4,0.42,0.44,0.46,0.47,0.49,0.5,0.68,0.93,1.95,1.82,1.31,1.46,1.84,1.5,1.89,1.59,1.67,1.81,2.08,2.43,2.51,2.69,3.16,3.27,3.4,3.95,3.93,4.46,4.31,5.11,5.55,5.41,2.78,2.01,1.53,1.74,1.64,1.68,2.01,2.2,2.07,2.2,2.45,2.61,2.67,2.76,3,3.17,3.33,3.3,3.28,3.59,3.07
Chile,MtCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.08,0.06,0.08,0.08,0.06,0.07,0.05,0.05,0.05,0.06,0.04,0.05,0.05,0.08,0.15,0.12,0.11,0.09,0.11,0.1,0.1,0.17,0.29,0.13,0.19,0.36,0.49,0.41,0.54,0.63,0.79,0.94,1.11,1.29,1.51,1.82,2.15,2.49,2.85,3.21,2.98
Austria,MtCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.09,0.1,0.1,0.11,0.12,0.13,0.13,0.14,0.15,0.15,0.16,0.17,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.3,0.32,0.33,0.35,0.37,0.39,0.41,0.43,0.45,0.47,0.49,0.52,0.55,0.58,0.61,0.63,0.66,0.68,0.7,0.72,0.68,0.73,0.74,0.74,0.77,0.82,0.82,0.86,0.86,0.86,0.87,0.91,1.27,1.29,1.31,1.4,1.51,1.53,1.66,1.81,1.17,1.04,1.26,1.54,1.68,1.72,1.54,1.46,1.39,1.62,1.7,1.77,1.83,1.83,1.81,1.86,1.88,1.69,1.9,1.8,1.86,1.88,1.96,1.99,2.08,2.18
