Country/Region,unit,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
China,MtCO2e,2.77,2.89,3.01,3.13,3.25,3.34,3.46,3.55,3.64,3.7,3.78,3.84,3.9,3.96,4.02,4.11,4.17,4.23,4.29,4.35,4.41,4.53,4.74,4.98,5.3,5.63,5.96,6.29,6.56,6.79,6.97,7.09,7.21,7.3,7.42,7.51,7.6,7.69,7.78,7.87,8.31,8.49,8.67,8.88,9.09,9.3,9.51,9.71,9.92,10.16,10.4,10.61,10.85,11.12,11.35,11.62,11.89,12.16,12.43,12.72,13.02,13.32,13.65,14.01,14.36,14.72,15.11,15.5,15.88,16.27,16.63,17.02,17.37,17.76,18.12,18.51,18.89,19.31,19.73,20.14,20.59,21.07,21.58,22.11,22.68,23.27,23.87,24.5,25.18,25.87,26.58,27.59,29.14,30.99,33.38,35.76,38.44,40.83,43.51,45.59,47.68,49.47,51.55,53.64,56.02,58.41,60.79,63.47,65.86,68.24,70.63,74.2,76.88,81.35,87.91,94.47,103.41,102.21,104.9,109.07,115.92,119.2,124.86,130.52,129.33,139.17,138.87,153.17,170.75,181.48,192.81,189.53,196.68,209.2,220.22,212.47,216.05,241.08,254.19,262.24,271.78,278.33,284.29,277.74,289.95,333.76,354.62,330.78,336.74,354.62,348.66,351.64,369.52,375.48,390.38,402.3,441.04,470.84,506.6,542.36,581.1,613.88,646.66,652.62,664.54,679.44,688.38,688.38
Brazil,MtCO2e,0.61,0.63,0.66,0.69,0.71,0.74,0.76,0.78,0.8,0.82,0.83,0.85,0.87,0.88,0.89,0.91,0.92,0.94,0.95,0.97,0.98,1.01,1.05,1.11,1.18,1.25,1.33,1.4,1.46,1.51,1.55,1.58,1.6,1.63,1.65,1.67,1.69,1.71,1.73,1.76,2.29,2.33,2.39,2.48,2.59,2.71,2.85,3.01,3.16,3.34,3.49,3.73,4.05,4.47,4.92,5.36,5.84,6.26,6.65,6.91,7.09,7.21,7.3,7.39,7.48,7.57,7.66,7.72,7.78,7.81,7.87,7.87,7.87,7.81,7.78,7.72,7.63,7.6,7.54,7.54,7.54,7.63,7.75,7.93,8.17,8.43,8.7,9,9.3,9.6,9.86,10.43,11.44,12.87,14.54,16.36,18.24,20.03,21.66,23.01,23.96,24.94,26.34,28.1,30.1,32.18,34.27,36.65,38.44,40.23,41.72,44.7,45.89,47.38,48.87,50.66,51.85,53.64,55.43,57.51,61.09,59.3,64.37,64.07,69.43,73.01,80.16,80.76,82.25,85.23,91.78,89.7,90.89,90.29,91.49,92.98,97.15,101.32,100.13,102.81,101.92,105.19,107.58,109.66,113.54,116.22,109.37,112.94,118.01,119.2,124.27,126.95,133.5,142.44,147.81,149.89,151.98,149.89,151.38,151.98,159.43,167.18,167.18,171.65,175.52,172.24,177.01,184.46
India,MtCO2e,6.32,6.47,6.62,6.79,6.94,7.06,7.18,7.3,7.39,7.48,7.54,7.57,7.63,7.66,7.69,7.72,7.78,7.81,7.84,7.87,7.93,8.08,8.43,8.91,9.48,10.13,10.79,11.41,11.95,12.4,12.66,12.84,12.99,13.11,13.23,13.35,13.44,13.56,13.65,13.77,14.3,14.39,14.45,14.51,14.6,14.66,14.72,14.81,14.9,14.96,15.05,15.14,15.23,15.32,15.41,15.53,15.62,15.7,15.79,15.88,15.94,16.03,16.09,16.15,16.21,16.27,16.33,16.39,16.45,16.51,16.57,16.66,16.75,16.81,16.93,17.02,17.11,17.16,17.25,17.34,17.4,17.46,17.52,17.61,17.67,17.76,17.82,17.91,18,18.09,18.18,18.3,18.51,18.77,19.07,19.4,19.76,20.09,20.38,20.65,20.86,21.04,21.25,21.46,21.69,21.93,22.17,22.41,22.65,22.86,23.09,24.44,24.7,25.06,25.87,26.02,27.15,28.22,29.2,30.1,29.29,30.1,31.89,33.97,33.97,37.55,37.85,38.74,39.93,41.12,41.12,43.51,43.21,45.89,47.68,48.57,50.36,49.17,52.75,53.34,54.24,56.02,58.11,59.9,61.69,66.16,70.33,75.39,80.16,84.33,86.72,89.1,88.51,93.27,98.34,104,110.56,117.11,122.78,129.03,124.27,129.03,129.33,134.4,136.78,139.17,140.66,143.34
Indonesia,MtCO2e,0.76,0.79,0.81,0.83,0.85,0.86,0.88,0.9,0.91,0.92,0.93,0.94,0.94,0.95,0.95,0.96,0.97,0.97,0.98,0.99,0.99,1.01,1.05,1.11,1.19,1.27,1.35,1.42,1.49,1.55,1.59,1.61,1.63,1.64,1.66,1.67,1.69,1.7,1.72,1.73,1.89,1.91,1.93,1.97,2,2.04,2.09,2.14,2.19,2.24,2.3,2.35,2.42,2.49,2.57,2.65,2.74,2.84,2.94,3.04,3.16,3.31,3.49,3.7,3.93,4.17,4.41,4.68,4.89,5.13,5.33,5.51,5.69,5.87,6.05,6.23,6.41,6.56,6.71,6.82,6.94,7.06,7.18,7.3,7.42,7.54,7.63,7.72,7.78,7.81,7.84,8.17,9,10.25,11.74,13.38,14.99,16.51,17.76,18.6,18.92,18.98,19.1,19.28,19.49,19.7,19.94,20.2,20.44,20.65,20.86,21.49,21.72,21.69,21.78,22.11,22.26,22.08,23.33,22.47,22.83,23.01,23.54,23.54,23.72,23.69,23.78,24.41,24.97,25.42,26.43,27.24,27.86,28.88,30.1,30.69,31.59,32.18,32.78,32.78,34.27,34.57,36.36,36.06,35.46,37.55,39.63,41.42,42.91,44.7,46.19,46.19,45.59,47.68,48.87,50.06,49.47,51.85,53.64,56.02,56.32,57.22,59.3,60.2,59.9,60.49,62.58,63.18
Argentina,MtCO2e,0.5,0.52,0.54,0.55,0.57,0.58,0.6,0.61,0.62,0.63,0.64,0.65,0.65,0.66,0.67,0.67,0.68,0.69,0.69,0.7,0.71,0.72,0.75,0.8,0.85,0.9,0.96,1.01,1.06,1.1,1.12,1.14,1.16,1.17,1.18,1.19,1.21,1.22,1.23,1.25,1.73,1.75,1.8,1.87,1.96,2.07,2.18,2.31,2.45,2.59,2.74,2.94,3.25,3.61,3.99,4.44,4.86,5.24,5.57,5.81,5.96,6.05,6.14,6.2,6.29,6.35,6.41,6.44,6.5,6.53,6.53,6.56,6.53,6.47,6.41,6.32,6.26,6.2,6.14,6.11,6.11,6.14,6.26,6.41,6.59,6.79,7.03,7.3,7.54,7.78,8.02,8.49,9.45,10.73,12.25,13.92,15.64,17.28,18.77,20,20.83,21.66,22.86,24.32,25.99,27.77,29.59,31.29,33.08,34.27,35.46,36.36,35.76,34.87,36.36,38.44,39.93,41.42,40.83,39.63,40.23,40.23,41.72,42.91,42.61,43.51,45,45,44.1,43.81,43.51,42.91,42.61,43.21,42.91,42.61,42.02,41.72,41.42,41.12,41.72,42.32,42.32,43.81,41.72,41.12,42.61,41.12,41.72,41.72,47.98,52.45,48.28,51.85,48.57,49.17,50.96,51.55,47.68,48.57,39.34,38.44,38.14,41.72,42.02,41.72,44.7,46.19
France,MtCO2e,2,2.06,2.12,2.19,2.24,2.3,2.35,2.4,2.44,2.48,2.51,2.54,2.56,2.59,2.61,2.63,2.66,2.68,2.71,2.73,2.76,2.82,2.94,3.1,3.31,3.52,3.73,3.93,4.14,4.29,4.38,4.44,4.5,4.56,4.62,4.65,4.71,4.74,4.8,4.86,4.56,5.01,5.45,5.84,6.23,6.56,6.85,7.09,7.3,7.45,7.54,7.57,7.57,7.51,7.45,7.39,7.3,7.24,7.18,7.18,7.21,7.27,7.33,7.39,7.45,7.54,7.6,7.69,7.75,7.84,7.93,8.05,8.17,8.31,8.46,8.64,8.79,8.97,9.12,9.27,9.39,9.57,9.83,10.19,10.64,11.09,11.56,12.04,12.49,12.87,13.2,13.83,15.05,16.69,18.63,20.74,22.89,24.91,26.7,28.13,29.03,29.8,30.99,32.18,33.97,35.76,37.55,39.63,41.72,43.81,45.59,49.17,52.15,54.83,57.22,59.9,62.58,66.45,69.43,70.92,67.65,70.63,72.71,77.78,78.37,75.99,74.8,75.99,76.88,76.88,75.99,75.1,74.8,77.18,79.27,79.27,78.97,76.59,75.99,75.1,68.54,69.43,68.84,67.94,67.94,69.43,70.92,70.92,64.07,58.11,56.92,56.62,53.94,51.85,50.36,49.47,47.98,48.28,47.38,45.89,43.51,42.02,42.32,42.02,43.21,42.91,42.02,43.21
Canada,MtCO2e,2.09,2.16,2.22,2.29,2.35,2.4,2.46,2.5,2.54,2.58,2.61,2.64,2.66,2.68,2.71,2.73,2.75,2.77,2.8,2.83,2.85,2.91,3.04,3.22,3.4,3.64,3.87,4.08,4.26,4.44,4.53,4.59,4.65,4.71,4.77,4.8,4.86,4.92,4.95,5.01,5.27,5.36,5.45,5.54,5.63,5.75,5.84,5.93,6.05,6.14,6.26,6.35,6.47,6.59,6.71,6.82,6.91,7.03,7.15,7.27,7.36,7.48,7.57,7.66,7.78,7.87,7.99,8.08,8.2,8.28,8.4,8.49,8.61,8.73,8.85,8.97,9.09,9.18,9.3,9.39,9.48,9.57,9.66,9.74,9.83,9.92,10.04,10.13,10.25,10.37,10.46,10.7,11.2,11.89,12.72,13.62,14.54,15.41,16.18,16.78,17.16,17.43,17.79,18.18,18.63,19.1,19.58,20.11,20.62,21.16,21.66,22.2,23.48,24.56,25.21,26.46,27.51,27.83,28.16,28.7,28.43,29.8,30.99,33.38,34.27,34.57,35.76,37.25,39.63,41.12,41.72,42.02,39.04,42.02,43.81,43.21,38.44,38.14,37.25,39.63,41.42,39.93,40.53,40.53,43.51,44.1,46.19,45,41.42,39.04,38.74,37.55,37.25,38.74,41.12,39.63,37.25,38.14,39.93,36.65,35.76,36.06,37.55,39.34,38.14,38.74,39.63,40.23
Germany,MtCO2e,2.23,2.32,2.4,2.48,2.56,2.64,2.71,2.77,2.83,2.89,2.94,2.98,3.01,3.07,3.1,3.13,3.19,3.22,3.25,3.31,3.34,3.43,3.58,3.75,3.99,4.26,4.5,4.77,4.98,5.16,5.27,5.36,5.45,5.51,5.6,5.66,5.72,5.78,5.84,5.9,5.69,6.17,6.65,7.09,7.51,7.87,8.22,8.49,8.73,8.94,9.06,9.15,9.18,9.18,9.15,9.09,9.06,9.03,9.03,9.06,9.12,9.21,9.3,9.39,9.48,9.6,9.69,9.8,9.89,10.01,10.13,10.28,10.46,10.64,10.85,11.06,11.26,11.47,11.68,11.86,12.01,12.19,12.49,12.87,13.29,13.74,14.21,14.66,15.11,15.5,15.82,16.45,17.7,19.37,21.4,23.57,25.78,27.86,29.71,31.29,32.18,32.78,33.97,35.16,36.65,38.44,40.23,42.32,44.1,46.19,47.98,50.36,53.64,55.43,58.11,61.09,63.47,66.16,68.54,70.92,69.14,69.43,70.03,72.41,72.41,71.22,71.52,70.03,71.52,73.31,71.52,69.14,67.35,67.94,70.63,70.63,67.94,67.35,66.16,67.05,67.65,64.96,65.86,63.18,64.07,63.18,64.67,61.39,48.57,45,44.7,46.19,45.3,44.7,46.79,44.7,44.7,46.49,46.79,45.89,38.14,39.34,38.44,39.04,39.63,40.23,39.34,39.04
Iran,MtCO2e,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.52,0.52,0.53,0.53,0.53,0.54,0.54,0.54,0.54,0.55,0.55,0.55,0.55,0.56,0.59,0.62,0.66,0.71,0.75,0.8,0.83,0.86,0.89,0.9,0.91,0.91,0.92,0.93,0.94,0.94,0.95,0.96,1,1,1.01,1.01,1.02,1.02,1.03,1.04,1.04,1.05,1.06,1.06,1.08,1.08,1.1,1.11,1.12,1.13,1.14,1.16,1.17,1.18,1.19,1.2,1.21,1.22,1.23,1.25,1.26,1.28,1.29,1.33,1.38,1.44,1.52,1.61,1.7,1.8,1.89,1.97,2.04,2.11,2.18,2.25,2.33,2.41,2.49,2.57,2.66,2.74,2.82,2.94,3.13,3.34,3.61,3.87,4.17,4.44,4.68,4.89,5.04,5.16,5.3,5.48,5.63,5.81,5.99,6.14,6.29,6.38,6.47,7.15,7.48,7.18,7.39,7.78,8.17,8.73,9.33,9.71,9.42,9.69,9.98,10.85,11.2,11.41,12.04,12.72,12.78,13.53,13.56,14.6,15.53,16.87,16.78,17.37,18.39,18.42,18.45,20.62,20.17,21.04,23.33,21.52,22.29,22.56,23.33,24.44,25.21,24.76,24.91,25.33,26.46,27.45,39.63,37.55,38.44,42.32,33.97,30.69,30.1,27.24,28.13,31.89,31.29,31.29,32.18,32.48
Egypt,MtCO2e,0.2,0.21,0.21,0.21,0.22,0.22,0.23,0.23,0.23,0.23,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.26,0.27,0.29,0.31,0.33,0.35,0.37,0.38,0.39,0.39,0.4,0.4,0.41,0.41,0.41,0.41,0.42,0.42,0.44,0.45,0.46,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.52,0.53,0.55,0.55,0.57,0.58,0.59,0.6,0.62,0.63,0.64,0.66,0.68,0.7,0.73,0.76,0.79,0.82,0.85,0.88,0.91,0.94,0.97,1,1.04,1.07,1.1,1.13,1.15,1.17,1.18,1.19,1.22,1.27,1.32,1.38,1.45,1.51,1.59,1.66,1.73,1.88,2.16,2.54,2.98,3.46,3.93,4.38,4.77,5.04,5.16,5.19,5.13,5.04,4.92,4.8,4.65,4.53,4.44,4.38,4.41,4.83,4.98,5.24,5.57,5.87,5.99,6.29,7.03,7.54,7.33,7.42,7.84,8.02,8.31,8.52,8.82,9.12,9.33,9.57,9.95,10.31,10.55,10.61,10.85,11.12,11.71,12.1,12.37,12.25,12.52,12.66,13.89,14.3,13.71,15.08,15.44,14.78,15.23,14.96,15.56,16.99,18.24,23.07,22.98,25,22.11,23.48,27.57,24.61,27.12,27.06,26.58,27.27,27.54,27.74,27.95,28.22
