year,USA_population
1950,152271417
1951,154877889
1952,157552740
1953,160184192
1954,163025854
1955,165931202
1956,168903031
1957,171984130
1958,174881904
1959,177829628
1960,180671158
1961,183691481
1962,186537737
1963,189241798
1964,191888791
1965,194302963
1966,196560338
1967,198712056
1968,200706052
1969,202676946
1970,205052174
1971,207660677
1972,209896021
1973,211908788
1974,213853928
1975,215973199
1976,218035164
1977,220239425
1978,222584545
1979,225055487
1980,227224681
1981,229465714
1982,231664458
1983,233791994
1984,235824902
1985,237923795
1986,240132887
1987,242288918
1988,244498982
1989,246819230
1990,249622814
1991,252980941
1992,256514224
1993,259918588
1994,263125821
1995,266278393
1996,269394284
1997,272646925
1998,275854104
1999,279040168
2000,282162411
2001,284968955
2002,287625193
2003,290107933
2004,292805298
2005,295516599
2006,298379912
2007,301231207
2008,304093966
2009,306771529
2010,309330219
2011,311591917
2012,314102623
2013,316427395
2014,318907401
2015,321418820
2016,323889854
