"","year","global_LandAndOcean_temp","CO2","C02_Energy","CO2_Industrial_Processes_and_Product_Use","CO2_Agriculture","CO2_Waste","CH4","CH4_Energy","CH4_Industrial_Processes_and_Product_Use","CH4_Agriculture","CH4_Waste","Fgas","N20","N20_Energy","N20_Industrial_Processes_and_Product_Use","N20_Agriculture","N20_Waste"
"1",1850,14.8671666666667,224,199,23.7,0.31,0.38,600,65.75,0.02,442.5,90.25,0.06,104,7.48,0,93.27,3.13
"2",1851,14.9918333333333,231,202,28.7,0.32,0.37,615,66,0.03,457.5,91,0.06,106.98,7.66,0,95.36,3.22
"3",1852,15.0065,243,211,31.2,0.35,0.38,630,66.5,0.03,472.5,91.75,0.06,109.96,7.81,0,97.15,3.28
"4",1853,14.9551666666667,256,221,34.9,0.37,0.41,647.5,67.25,0.04,487.5,92.5,0.06,112.64,7.96,0,98.94,3.34
"5",1854,14.991,298,259,38.5,0.43,0.48,665,68.25,0.04,502.5,93.25,0.06,115.33,8.08,0,100.72,3.4
"6",1855,15.0210833333333,308,263,43.8,0.46,0.49,680,69.75,0.05,517.5,94,0.06,117.71,8.22,0,102.21,3.46
"7",1856,14.8793333333333,328,281,46.1,0.49,0.52,697.5,71.25,0.05,532.5,94.75,0.06,120.09,8.31,0,103.7,3.49
"8",1857,14.75825,332,284,47.4,0.51,0.52,715,73,0.06,547.5,95.5,0.06,122.18,8.43,0,104.9,3.52
"9",1858,14.8815,337,287,48.2,0.53,0.52,732.5,75,0.06,562.5,96.25,0.06,123.97,8.49,0,105.79,3.58
"10",1859,14.9299166666667,358,305,52.2,0.54,0.55,752.5,77,0.07,577.5,97,0.06,125.46,8.55,0,106.39,3.58
"11",1860,14.8829166666667,390,334,54.9,0.58,0.6,770,79.5,0.07,592.5,98,0.06,126.65,8.58,0,106.98,3.61
"12",1861,14.8006666666667,406,351,54,0.63,0.64,787.5,82.25,0.08,607.5,98.75,0.06,127.84,8.58,0,106.98,3.61
"13",1862,14.7400833333333,414,357,56.1,0.67,0.65,805,85,0.09,622.5,99.5,0.06,128.74,8.61,0,107.28,3.61
"14",1863,14.93575,446,381,64,0.72,0.67,825,88,0.09,635,100,0.06,129.63,8.61,0,107.28,3.61
"15",1864,14.8965,480,410,68.4,0.79,0.72,842.5,91.25,0.1,650,100.75,0.06,130.52,8.61,0,107.28,3.61
"16",1865,14.9966666666667,506,435,69.3,0.84,0.76,862.5,94.5,0.11,665,101.5,0.06,131.42,8.61,0,107.28,3.61
"17",1866,15.057,521,449,70.3,0.88,0.8,880,98,0.11,680,102.25,0.06,132.01,8.64,0,107.58,3.61
"18",1867,15.0586666666667,567,481,84.4,0.96,0.82,900,101.75,0.12,695,103,0.06,132.91,8.64,0,107.58,3.64
"19",1868,15.0969166666667,590,495,93.8,1.01,0.82,917.5,105.5,0.13,707.5,103.75,0.06,133.8,8.64,0,107.58,3.64
"20",1869,15.0655,633,525,106,1.07,0.86,937.5,109.75,0.14,722.5,104.5,0.06,134.7,8.64,0,107.88,3.64
"21",1870,15.0043333333333,650,537,112,1.11,0.83,957.5,113.75,0.14,737.5,105.5,0.06,135.89,8.67,0,107.88,3.64
"22",1871,15.0059166666667,690,571,117,1.2,0.86,975,118,0.15,750,106.5,0.06,138.57,8.82,0,109.96,3.7
"23",1872,15.0193333333333,775,631,141,1.33,0.96,995,122.5,0.16,765,107.5,0.06,144.53,9.18,0,114.43,3.84
"24",1873,15.04925,829,671,155,1.42,1.02,1015,127,0.17,780,108.5,0.06,152.58,9.71,0,120.99,4.08
"25",1874,14.957,781,629,149,1.36,1,1035,131.75,0.18,792.5,109.75,0.06,162.71,10.37,0,129.33,4.35
"26",1875,14.9219166666667,836,682,152,1.47,1.07,1055,136.5,0.19,805,111,0.06,173.44,11.12,0,138.27,4.65
"27",1876,14.9094166666667,843,691,150,1.59,1.08,1072.5,141.5,0.2,820,112.25,0.06,184.46,11.83,0,147.51,4.98
"28",1877,15.2826666666667,872,705,164,1.61,1.07,1092.5,146.5,0.2,832.5,113.5,0.06,194.89,12.55,0,156.15,5.27
"29",1878,15.3574166666667,871,708,161,1.66,1.09,1112.5,151.75,0.21,845,115,0.06,204.43,13.17,0,163.9,5.51
"30",1879,15.0644166666667,955,759,193,1.78,1.13,1132.5,156.75,0.22,860,116.25,0.06,211.88,13.65,0,169.86,5.72
"31",1880,15.0086666666667,1080,857,219,1.97,1.25,1152.5,162,0.23,872.5,117.5,0.06,216.65,13.95,0,173.73,5.84
"32",1881,15.0871666666667,1120,886,231,2.03,1.29,1170,167.5,0.24,885,118.75,0.06,219.63,14.1,0,175.82,5.93
"33",1882,15.0565833333333,1200,937,259,2.15,1.33,1190,172.75,0.25,897.5,120,0.06,222.31,14.24,0,177.31,5.96
"34",1883,14.96325,1280,996,280,2.3,1.4,1210,178.25,0.26,910,121.25,0.06,224.69,14.36,0,178.8,6.02
"35",1884,14.83325,1310,1010,295,2.36,1.37,1227.5,184,0.27,920,122.75,0.06,227.08,14.45,0,180.29,6.08
"36",1885,14.8544166666667,1320,1010,300,2.42,1.36,1247.5,189.5,0.28,932.5,124,0.06,229.16,14.54,0,181.18,6.11
"37",1886,14.83525,1350,1030,316,2.48,1.36,1265,195,0.29,945,125.25,0.06,230.95,14.63,0,182.38,6.14
"38",1887,14.816,1420,1080,338,2.59,1.44,1282.5,200.75,0.3,955,126.75,0.06,233.04,14.72,0,183.27,6.17
"39",1888,14.9940833333333,1610,1200,408,2.85,1.52,1302.5,206.5,0.31,967.5,128,0.06,234.82,14.81,0,184.46,6.2
"40",1889,15.1134166666667,1570,1200,372,2.94,1.6,1320,212.25,0.32,977.5,129.5,0.06,237.21,14.93,0,185.65,6.26
"41",1890,14.84075,1690,1310,383,3.2,1.7,1340,238.5,0.5,970,132.75,0.06,247.04,17.14,0,192.51,6.32
"42",1891,14.9438333333333,1750,1370,382,3.35,1.76,1367.5,247.5,0.53,985,134.5,0.08,251.51,17.76,0,195.49,6.35
"43",1892,14.8825,1770,1380,382,3.38,1.75,1395,257.5,0.57,1000,136.75,0.11,255.98,18.45,0,198.47,6.41
"44",1893,14.91225,1750,1360,382,3.45,1.69,1422.5,267.5,0.63,1015,138.75,0.15,260.45,19.16,0,201.45,6.47
"45",1894,14.91475,1800,1410,382,3.54,1.9,1450,280,0.69,1030,141,0.21,264.92,19.94,0,204.43,6.53
"46",1895,14.969,1880,1490,381,3.77,1.96,1477.5,292.5,0.75,1042.5,143.25,0.27,269.09,20.77,0,207.11,6.59
"47",1896,15.0905833333333,1930,1540,381,3.93,2.03,1507.5,305,0.81,1055,145.5,0.34,273.56,21.63,0,209.79,6.65
"48",1897,15.0753333333333,2000,1620,381,4.14,2.12,1532.5,320,0.89,1065,148,0.41,277.74,22.53,0,212.18,6.71
"49",1898,14.8869166666667,2090,1700,380,4.39,2.28,1560,335,0.97,1075,150.5,0.48,281.61,23.45,0,214.26,6.79
"50",1899,15.0483333333333,2250,1860,380,4.73,2.37,1585,350,1.05,1082.5,152.75,0.54,285.48,24.44,0,216.35,6.85
"51",1900,15.1439166666667,2350,1960,381,4.98,2.52,1607.5,365,1.13,1087.5,155.5,0.59,289.06,25.45,0,217.84,6.94
"52",1901,15.0733333333333,2420,2030,381,5.19,2.61,1632.5,382.5,1.23,1092.5,158,0.63,292.64,26.55,0,219.33,7.06
"53",1902,14.9583333333333,2470,2080,382,5.27,2.65,1660,402.5,1.35,1095,160.75,0.66,296.51,27.8,0,221.12,7.18
"54",1903,14.8365833333333,2660,2270,382,5.66,2.79,1692.5,427.5,1.49,1100,163.5,0.69,300.98,29.2,0,222.9,7.3
"55",1904,14.8104166666667,2690,2300,381,5.79,2.88,1725,452.5,1.63,1105,166.5,0.73,303.96,30.69,0,224.99,7.45
"56",1905,14.9546666666667,2840,2450,382,6.12,2.95,1760,480,1.78,1110,169.5,0.76,309.92,32.18,0,227.08,7.6
"57",1906,15.0319166666667,2970,2570,383,6.5,3.17,1795,505,1.93,1115,172.5,0.79,312.9,33.67,0,229.16,7.75
"58",1907,14.8748333333333,3300,2910,383,7.29,3.37,1827.5,532.5,2.08,1120,175.75,0.82,318.86,35.16,0,231.25,7.9
"59",1908,14.8381666666667,3190,2800,382,7.29,3.47,1860,555,2.21,1125,179,0.86,321.84,36.36,0,233.04,8.08
"60",1909,14.7903333333333,3310,2920,383,7.47,3.52,1890,575,2.32,1130,182.25,0.89,327.8,37.55,0,235.12,8.22
"61",1910,14.8190833333333,3450,3060,384,7.77,3.58,1917.5,592.5,2.4,1137.5,185.5,0.94,330.78,38.44,0,237.21,8.37
"62",1911,14.776,3510,3110,383,7.98,3.82,1947.5,607.5,2.47,1147.5,189,0.98,333.76,39.34,0,240.19,8.49
"63",1912,14.8771666666667,3660,3260,383,8.53,3.97,1980,622.5,2.52,1162.5,192.25,1.03,342.7,40.23,0,244.66,8.64
"64",1913,14.90875,3930,3530,383,9.14,4.33,2015,635,2.58,1182.5,196,1.08,348.66,40.83,0,250.62,8.79
"65",1914,15.07625,3610,3220,382,8.09,3.97,2055,647.5,2.63,1205,199.5,1.13,357.6,41.72,0.01,257.47,8.91
"66",1915,15.14375,3580,3190,380,7.81,3.69,2092.5,657.5,2.67,1230,203.25,1.19,366.54,42.32,0.01,264.92,9.06
"67",1916,14.9013333333333,3830,3440,380,8.38,4,2132.5,667.5,2.7,1255,207,1.25,375.48,42.91,0.01,272.67,9.21
"68",1917,14.80975,3990,3600,379,8.57,4.34,2170,677.5,2.75,1280,211,1.31,384.42,43.51,0.01,280.12,9.33
"69",1918,14.9598333333333,3950,3560,375,8.08,4.29,2205,682.5,2.8,1302.5,214.75,1.38,393.36,44.1,0.01,287.27,9.48
"70",1919,15.00675,3490,3100,375,6.49,4.42,2235,690,2.85,1325,218.75,1.45,402.3,44.7,0.01,293.23,9.63
"71",1920,15.02625,3980,3590,376,7.99,4.74,2260,692.5,2.92,1340,223,1.52,408.26,45.3,0.01,298,9.74
